Loadout_Option_ID,Unit_ID,Option_Group_ID,Group_Label,Option_ID,Option_Name,Default,Sort_Order,Allocation_Mode,Allocation_Count,Max_Per_Unit,Points_Per_Model
DEATHWING_KNIGHTS__KNIGHT_MASTER_MELEE__DEATHWING_GREAT_WEAPON,DEATHWING_KNIGHTS,KNIGHT_MASTER_MELEE,Knight Master Weapon,DEATHWING_GREAT_WEAPON,Great Weapon of the Unforgiven,TRUE,1,,,,
DEATHWING_KNIGHTS__KNIGHT_MASTER_MELEE__DEATHWING_RELIC_WEAPON,DEATHWING_KNIGHTS,KNIGHT_MASTER_MELEE,Knight Master Weapon,DEATHWING_RELIC_WEAPON,Relic Weapon,FALSE,2,,,,
DEATHWING_KNIGHTS__KNIGHTS_MELEE__DEATHWING_MACE_OF_ABSOLUTION,DEATHWING_KNIGHTS,KNIGHTS_MELEE,Deathwing Knights Weapon,DEATHWING_MACE_OF_ABSOLUTION,Mace of Absolution,TRUE,1,,,,
DEATHWING_KNIGHTS__KNIGHTS_MELEE__DEATHWING_POWER_WEAPON,DEATHWING_KNIGHTS,KNIGHTS_MELEE,Deathwing Knights Weapon,DEATHWING_POWER_WEAPON,Power Weapon,FALSE,2,,,,
DEATHWING_TERMINATORS__HEAVY_WEAPON_DWT__DWT_CYCLONE,DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,Heavy Weapon,DWT_CYCLONE,Cyclone Missile Launcher,TRUE,1,,,,
DEATHWING_TERMINATORS__HEAVY_WEAPON_DWT__DWT_ASSAULT_CANNON,DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,Heavy Weapon,DWT_ASSAULT_CANNON,Assault Cannon,FALSE,2,,,,
DEATHWING_TERMINATORS__HEAVY_WEAPON_DWT__DWT_HEAVY_FLAMER,DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,Heavy Weapon,DWT_HEAVY_FLAMER,Heavy Flamer,FALSE,3,,,,
DEATHWING_TERMINATORS__HEAVY_WEAPON_DWT__DWT_PLASMA_CANNON,DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,Heavy Weapon,DWT_PLASMA_CANNON,Plasma Cannon,FALSE,4,,,,
DEATHWING_TERMINATORS__HEAVY_WEAPON_DWT__DWT_NONE,DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,Heavy Weapon,DWT_NONE,None,FALSE,5,,,,
DEATHWING_TERMINATORS__MELEE_DWT__DWT_POWER_FIST,DEATHWING_TERMINATORS,MELEE_DWT,Terminator Melee,DWT_POWER_FIST,Power Fist,TRUE,1,,,,
DEATHWING_TERMINATORS__MELEE_DWT__DWT_CHAINFIST,DEATHWING_TERMINATORS,MELEE_DWT,Terminator Melee,DWT_CHAINFIST,Chainfist,FALSE,2,,,,
DEATHWING_TERMINATORS__MELEE_DWT__DWT_MIXED_FISTS,DEATHWING_TERMINATORS,MELEE_DWT,Terminator Melee,DWT_MIXED_FISTS,Power Fist + Chainfist,FALSE,3,,,,
INVADER_ATV__MAIN_GUN_INVADER_ATV__INVADER_ATV_GATLING,INVADER_ATV,MAIN_GUN_INVADER_ATV,Main Gun,INVADER_ATV_GATLING,Onslaught Gatling Cannon,TRUE,1,,,,
INVADER_ATV__MAIN_GUN_INVADER_ATV__INVADER_ATV_MULTI_MELTA,INVADER_ATV,MAIN_GUN_INVADER_ATV,Main Gun,INVADER_ATV_MULTI_MELTA,Multi-melta,FALSE,2,,,,
INVICTOR_TACTICAL_WARSUIT__MAIN_GUN_INVICTOR__INVICTOR_INCENDIUM_CANNON,INVICTOR_TACTICAL_WARSUIT,MAIN_GUN_INVICTOR,Main Gun,INVICTOR_INCENDIUM_CANNON,Incendium Cannon,TRUE,1,,,,
INVICTOR_TACTICAL_WARSUIT__MAIN_GUN_INVICTOR__INVICTOR_TWIN_IRONHAIL_AUTOCANNON,INVICTOR_TACTICAL_WARSUIT,MAIN_GUN_INVICTOR,Main Gun,INVICTOR_TWIN_IRONHAIL_AUTOCANNON,Twin Ironhail Autocannon,FALSE,2,,,,
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_RANGED__CAPTAIN_JUMP_HBP,CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_RANGED,Ranged Weapon,CAPTAIN_JUMP_HBP,Heavy Bolt Pistol,TRUE,1,,,,
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_RANGED__CAPTAIN_JUMP_PLASMA,CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_RANGED,Ranged Weapon,CAPTAIN_JUMP_PLASMA,Plasma Pistol,FALSE,2,,,,
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_RANGED__CAPTAIN_JUMP_FLAMER,CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_RANGED,Ranged Weapon,CAPTAIN_JUMP_FLAMER,Hand Flamer,FALSE,3,,,,
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_MELEE__CAPTAIN_JUMP_CHAIN,CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_MELEE,Melee Weapon,CAPTAIN_JUMP_CHAIN,Astartes Chainsword,TRUE,1,,,,
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_MELEE__CAPTAIN_JUMP_FIST,CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_MELEE,Melee Weapon,CAPTAIN_JUMP_FIST,Power Fist,FALSE,2,,,,
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_MELEE__CAPTAIN_JUMP_RELIC,CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_MELEE,Melee Weapon,CAPTAIN_JUMP_RELIC,Relic Weapon,FALSE,3,,,,
CAPTAIN_WITH_JUMP_PACK_HAMMER_SHIELD__CAPTAIN_JUMP_SHIELD_LOADOUT__CAPTAIN_JUMP_SHIELD_CHAIN,CAPTAIN_WITH_JUMP_PACK_HAMMER_SHIELD,CAPTAIN_JUMP_SHIELD_LOADOUT,Shield Loadout,CAPTAIN_JUMP_SHIELD_CHAIN,Heavy Bolt Pistol + Astartes Chainsword,TRUE,1,,,,
CAPTAIN_WITH_JUMP_PACK_HAMMER_SHIELD__CAPTAIN_JUMP_SHIELD_LOADOUT__CAPTAIN_JUMP_SHIELD_HAMMER,CAPTAIN_WITH_JUMP_PACK_HAMMER_SHIELD,CAPTAIN_JUMP_SHIELD_LOADOUT,Shield Loadout,CAPTAIN_JUMP_SHIELD_HAMMER,Thunder Hammer,FALSE,2,,,,
CAPTAIN_FIST_PLASMA__CAPTAIN_LOADOUT__CAPTAIN_DEFAULT,CAPTAIN_SWORD_SHIELD,CAPTAIN_LOADOUT,Loadout,CAPTAIN_DEFAULT,Bolt Pistol + Master-crafted Bolter + Close Combat Weapon,TRUE,1,,,,
CAPTAIN_FIST_PLASMA__CAPTAIN_LOADOUT__CAPTAIN_BOLTER_POWER_WEAPON,CAPTAIN_SWORD_SHIELD,CAPTAIN_LOADOUT,Loadout,CAPTAIN_BOLTER_POWER_WEAPON,Bolt Pistol + Master-crafted Bolter + Master-crafted Power Weapon,FALSE,2,,,,
CAPTAIN_FIST_PLASMA__CAPTAIN_LOADOUT__CAPTAIN_BOLTER_FIST,CAPTAIN_SWORD_SHIELD,CAPTAIN_LOADOUT,Loadout,CAPTAIN_BOLTER_FIST,Bolt Pistol + Master-crafted Bolter + Power Fist,FALSE,3,,,,
CAPTAIN_FIST_PLASMA__CAPTAIN_LOADOUT__CAPTAIN_HBP_FIST,CAPTAIN_SWORD_SHIELD,CAPTAIN_LOADOUT,Loadout,CAPTAIN_HBP_FIST,Heavy Bolt Pistol + Power Fist,FALSE,4,,,,
CAPTAIN_FIST_PLASMA__CAPTAIN_LOADOUT__CAPTAIN_HBP_POWER_WEAPON,CAPTAIN_SWORD_SHIELD,CAPTAIN_LOADOUT,Loadout,CAPTAIN_HBP_POWER_WEAPON,Heavy Bolt Pistol + Master-crafted Power Weapon,FALSE,5,,,,
CAPTAIN_FIST_PLASMA__CAPTAIN_LOADOUT__CAPTAIN_VOLKITE_FIST,CAPTAIN_SWORD_SHIELD,CAPTAIN_LOADOUT,Loadout,CAPTAIN_VOLKITE_FIST,Neo-volkite Pistol + Power Fist,FALSE,6,,,,
CAPTAIN_FIST_PLASMA__CAPTAIN_LOADOUT__CAPTAIN_VOLKITE_POWER_WEAPON,CAPTAIN_SWORD_SHIELD,CAPTAIN_LOADOUT,Loadout,CAPTAIN_VOLKITE_POWER_WEAPON,Neo-volkite Pistol + Master-crafted Power Weapon,FALSE,7,,,,
CAPTAIN_FIST_PLASMA__CAPTAIN_LOADOUT__CAPTAIN_PLASMA_FIST,CAPTAIN_SWORD_SHIELD,CAPTAIN_LOADOUT,Loadout,CAPTAIN_PLASMA_FIST,Plasma Pistol + Power Fist,FALSE,8,,,,
CAPTAIN_FIST_PLASMA__CAPTAIN_LOADOUT__CAPTAIN_PLASMA_POWER_WEAPON,CAPTAIN_SWORD_SHIELD,CAPTAIN_LOADOUT,Loadout,CAPTAIN_PLASMA_POWER_WEAPON,Plasma Pistol + Master-crafted Power Weapon,FALSE,9,,,,
CAPTAIN_SWORD_SHIELD__CAPTAIN_SHIELD_LOADOUT__CAPTAIN_SHIELD_LOADOUT,CAPTAIN_SWORD_SHIELD,CAPTAIN_SHIELD_LOADOUT,Shield Loadout,CAPTAIN_SHIELD_LOADOUT,Heavy Bolt Pistol + Master-crafted Power Weapon,TRUE,1,,,,
CAPTAIN_IN_GRAVIS_ARMOUR__GRAVIS_CAPTAIN_LOADOUT__GRAVIS_CAPTAIN_DEFAULT,CAPTAIN_IN_GRAVIS_ARMOUR,GRAVIS_CAPTAIN_LOADOUT,Loadout,GRAVIS_CAPTAIN_DEFAULT,Master-crafted Heavy Bolt Rifle + Master-crafted Power Weapon,TRUE,1,,,,
CAPTAIN_IN_GRAVIS_ARMOUR__GRAVIS_CAPTAIN_LOADOUT__GRAVIS_CAPTAIN_CHAIN,CAPTAIN_IN_GRAVIS_ARMOUR,GRAVIS_CAPTAIN_LOADOUT,Loadout,GRAVIS_CAPTAIN_CHAIN,Boltstorm Gauntlet + Power Fist + Relic Chainsword,FALSE,2,,,,
CAPTAIN_IN_GRAVIS_ARMOUR__GRAVIS_CAPTAIN_LOADOUT__GRAVIS_CAPTAIN_BLADE,CAPTAIN_IN_GRAVIS_ARMOUR,GRAVIS_CAPTAIN_LOADOUT,Loadout,GRAVIS_CAPTAIN_BLADE,Boltstorm Gauntlet + Power Fist + Relic Blade,FALSE,3,,,,
