Loadout_Option_ID,Unit_ID,Option_Group_ID,Group_Label,Option_ID,Option_Name,Default,Sort_Order
TYRANNOFEX__MAIN_WEAPON__TYRANNOFEX_FLESHBORER_HIVE,TYRANNOFEX,MAIN_WEAPON,Main Weapon,TYRANNOFEX_FLESHBORER_HIVE,Fleshborer Hive,TRUE,1
TYRANNOFEX__MAIN_WEAPON__TYRANNOFEX_ACID_SPRAY,TYRANNOFEX,MAIN_WEAPON,Main Weapon,TYRANNOFEX_ACID_SPRAY,Acid Spray,FALSE,2
TYRANNOFEX__MAIN_WEAPON__TYRANNOFEX_RUPTURE_CANNON,TYRANNOFEX,MAIN_WEAPON,Main Weapon,TYRANNOFEX_RUPTURE_CANNON,Rupture Cannon,FALSE,3
TYRANT_GUARD__TYRANT_GUARD_WEAPON__TYRANT_GUARD_CRUSHING_CLAWS,TYRANT_GUARD,TYRANT_GUARD_WEAPON,Melee Weapon,TYRANT_GUARD_CRUSHING_CLAWS,Crushing claws and rending claws,FALSE,3
TYRANT_GUARD__TYRANT_GUARD_WEAPON__TYRANT_GUARD_BONE_CLEAVER,TYRANT_GUARD,TYRANT_GUARD_WEAPON,Melee Weapon,TYRANT_GUARD_BONE_CLEAVER,"Bone cleaver, lash whip and rending claws",FALSE,2
TYRANT_GUARD__TYRANT_GUARD_WEAPON__TYRANT_GUARD_SCYTHING_TALONS,TYRANT_GUARD,TYRANT_GUARD_WEAPON,Melee Weapon,TYRANT_GUARD_SCYTHING_TALONS,Scything talons and rending claws,TRUE,1
CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_EXTRA_SCYTHING_TALONS,CARNIFEXES,EXTRA_SCYTHING_TALONS,Extra Scything Talons,CARNIFEX_EXTRA_SCYTHING_TALONS,Carnifex extra scything talons,TRUE,1
CARNIFEXES__EXTRA_SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS,CARNIFEXES,EXTRA_SCYTHING_TALONS,Extra Scything Talons,DEATHSPITTERS_WITH_SLIMER_MAGGOTS,Deathspitters with slimer maggots,FALSE,2
CARNIFEXES__EXTRA_SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS,CARNIFEXES,EXTRA_SCYTHING_TALONS,Extra Scything Talons,DEVOURERS_WITH_BRAINLEECH_WORMS,Devourers with brainleech worms,FALSE,3
CARNIFEXES__EXTRA_SCYTHING_TALONS__HEAVY_VENOM_CANNON,CARNIFEXES,EXTRA_SCYTHING_TALONS,Extra Scything Talons,HEAVY_VENOM_CANNON,Heavy venom cannon,FALSE,4
CARNIFEXES__EXTRA_SCYTHING_TALONS__STRANGLETHORN_CANNON,CARNIFEXES,EXTRA_SCYTHING_TALONS,Extra Scything Talons,STRANGLETHORN_CANNON,Stranglethorn cannon,FALSE,5
CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS,CARNIFEXES,EXTRA_SCYTHING_TALONS,Extra Scything Talons,CARNIFEX_CRUSHING_CLAWS,Carnifex crushing claws,FALSE,6
CARNIFEXES__SCYTHING_TALONS__CARNIFEX_SCYTHING_TALONS,CARNIFEXES,SCYTHING_TALONS,Scything Talons,CARNIFEX_SCYTHING_TALONS,Carnifex scything talons,TRUE,1
CARNIFEXES__SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS,CARNIFEXES,SCYTHING_TALONS,Scything Talons,DEATHSPITTERS_WITH_SLIMER_MAGGOTS,Deathspitters with slimer maggots,FALSE,2
CARNIFEXES__SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS,CARNIFEXES,SCYTHING_TALONS,Scything Talons,DEVOURERS_WITH_BRAINLEECH_WORMS,Devourers with brainleech worms,FALSE,3
CARNIFEXES__SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS,CARNIFEXES,SCYTHING_TALONS,Scything Talons,CARNIFEX_CRUSHING_CLAWS,Carnifex crushing claws,FALSE,4
CARNIFEXES__BIO_PLASMA__NONE,CARNIFEXES,BIO_PLASMA,Bio-plasma,NONE,—,TRUE,1
CARNIFEXES__BIO_PLASMA__BIO_PLASMA,CARNIFEXES,BIO_PLASMA,Bio-plasma,BIO_PLASMA,Bio-plasma,FALSE,2
CARNIFEXES__SPINE_BANKS__NONE,CARNIFEXES,SPINE_BANKS,Spine banks,NONE,—,TRUE,1
CARNIFEXES__SPINE_BANKS__SPINE_BANKS,CARNIFEXES,SPINE_BANKS,Spine banks,SPINE_BANKS,Spine banks,FALSE,2
